Type,Removed_stopwords
1,الشرطة الامريكية تفرق احتجاجا مسلحا مبنى الكابيتول ولاية اوريغون
1,وزير الخارجية الفرنسي يقول ان لبنان ينهار ويحث الاتحاد الاوروبي انقاذه
1,وزير خارجية فرنسا جان ايف لودريان يحذر اختفاء لبنان ينخرط اصلاحات عاجلة
1,بريستول اعمال عنف خلال احتجاجات مشروع قانون يمنح الشرطة سلطات لتقييد المظاهرات بريطانيا
1,بريطانيا احتجاجات عنيفة والنيران تلتهم سيارتي شرطة
1,لبنان مطالبة بتشكيل حكومة جديدة وتواصل الاحتجاجات
1,مظاهرات لبنان ميشال عون يطالب قوات الامن بانهاء اغلاق الطرق بيروت
1,البنتاغون عجلة للانسحاب افغانستان
1,شرطة الكونغرس تطلب البنتاغون تمديد مهمة الحرس الوطني بالكابيتول
1,سلسلة جرائم قتل غامضة تستهدف الاسيويين داخل امريكا وخروج مظاهرات حاشدة تندد بالعنصرية وترامب بدائرة الاتهام
1,الولايات المتحدة مظاهرات حاشدة متوقعة نهاية الاسبوع وتصاعد الغضب ازاء انتهاكات الشرطة
1,فرنسا نخب تحتج مشروع قانون مبادئ تعزيز قيم الجمهورية
1,مجلس مسلمي فرنسا يتفق شرعة مبادئ ماكرون حول الاسلام
1,اتفاقية عسكرية اردنية امريكية تثير الجدل ومعارضون يعتبرونها انتدابا جديدا
1,بدء محاكمة الرائد السابق الجيش الاميركي نضال حسن بتهمة قتل شخصا
1,اسرائيل تعتقل شخصا اجتاز الحدود لبنان
1,بهمس وسرية لبنانيون يتحدثون السلام اسرائيل
1,وفد امريكي موسع جولة افريقية لحل ازمة سد النهضة
1,سد النهضة الاثيوبي السودان يستعرض الاثار السلبية لـ الملء الثاني
1,تصعيد روسي سوريا وتحرك تركي لايقافه
1,العملية التركية سوريا روسيا تبدا نشر قواتها الحدود التركية السورية وفقا لاتفاق سوتشي
1,التحالف يستهدف مواقع صواريخ باليستية وورش تصنيع بصنعاء والحديدة
1,تفاصيل مجزرة الحوثي بحق المهاجرين سجن صنعاء
1,وزير خارجية ايطاليا يبحث التعاون الاقتصادي والهجرة الدبيبة طرابلس
1,وزراء خارجية ايطاليا وفرنسا والمانيا طرابلس
1,وفاة قيادي حوثي بارز متاثرا باصابته بفيروس كورونا
1,قادة الاتحاد الاوروبي يبحثون تكثيف التطعيم ضد كورونا اقتراب موجة ثالثة
1,تنظيم الدولة يتبنى هجوما مالي
1,موزمبيق تنظيم الدولة الاسلامية يعلن سيطرته بلدة بالما هجوم عشرات القتلى
1,دعت صحيفة اميركا الى تقديم المساعدة تعزيز النظام ليبيا
1,ادارة بايدن تطالب بسحب فوري للقوات الروسية والتركية ليبيا
1,خامنئي نثق بالوعود الاميركية ونبني سياساتنا اساس عدم رفع العقوبات
1,خامنئي وروحاني يوجهان رسالة امل للايرانيين بمناسبة راس السنة الفارسية
1,اسوشيتد برس مسؤولان المخابرات الاميركية يكشفان مخططا الحرس الثوري لضرب اهداف قرب واشنطن
1,المخابرات الامريكية والالمانية اخترقتا شركة تشفير سويسرية ثانية
1,قطر وموريتانيا تبحثان استئناف العلاقات الدبلوماسية
1,وزير الخارجية القطري يسلم الرئيس العراقي رسالة الشيخ تميم
1,واشنطن تعلن بدء مناورات بحرية بحر العرب وخليج عمان
1,البحرية الاميركية سترسل فريقا الى قناة السويس
1,عشرات الالاف يتظاهرون ضد انقلاب ميانمار رغم مخاوف القمع
1,تزايد الضغط الدولي جنرالات ميانمار مقتل شخصين اطلاق نار
1,وزير الدفاع الامريكي نتخذ قرارا بشان سحب قواتنا افغانستان
1,وزير الدفاع الامريكي يشيد باستضافة المانيا للقوات الامريكية
1,قياديان بفتح ضغوط الرئيس عباس لالغاء الانتخابات
1,الانتخابات الفلسطينية ترشح قائمة بينها لحماس ومحمد دحلان
1,العراق اعفاء مواطني دولة تاشيرة الدخول
1,سنجار العراقية تهدد تقاسم النفوذ تركيا وايران دول عربية
1,استراليا تشهد اعنف فيضانات نصف قرن
1,استراليا اخيرا هطول الامطار معظم مناطق الحرائق نيو ساوث ويلز
1,حزب يهودي يدعو لطرد الفلسطينيين
1,الكشف حزب يهودي عربي جديد اسرائيل بمبادرة افرهام بورغ وطلب الصانع
1,فاقمت ازمة النزوح استمرار الاشتباكات العنيفة الجيش اليمني والحوثيين عدة محافظات
1,الحرب اليمن الحوثيون يشنون هجمات السعودية ويتوعدون بالمزيد
1,قوات النظام تقصف مستشفى بريف حلب مقتل بينهم طفل
1,قتلى وجرحى قصف لقوات النظام السوري ادلب
1,قتيل جرحى تفجير بمدينة سراوان شرقي ايران
1,ايران قتيل وجرحى تحطم طائرة عسكرية
1,العبيدات ترفض الحكم العسكري مرتزقة فاغنر يبنون ساترا ترابيا سرت والجفرة
1,مرتزقة فاغنر عقبة امام تنفيذ اتفاق وقف اطلاق النار ليبيا
1,فيروس كورونا فرنسا تعيد فرض الحجر الشامل لمدة شهر مقاطعة بينها باريس وضواحيها
1,فيروس كورونا حظر تجوال ليلي مدن فرنسية وحكومات اوروبا تناضل لاحتواء الموجة الثانية
1,تفاصيل مغادرة سفير روسيا واشنطن التوتر يتصاعد البلدين
1,سفير روسيا امريكا يصل موسكو حرب التصريحات
1,كورونا والفساد يهيمنان انتخابات الكنيست الصهيوني
1,انتخابات الكنيست الاسرائيلي تعادل نتائج معسكري نتنياهو ومعارضيه
1,اردوغان يوجه دعوة رسمية الى المنفي لزيارة تركيا
1,تركيا قواتنا ستظل ليبيا دام الاتفاق العسكري قائما
1,نتنياهو يربط ضم اجزاء الضفة الغربية للسيادة الاسرائيلية بواشنطن افعل موافقة بايدن
1,قبيل ذهاب ترامب نتنياهو يامر ببناء وحدات استيطانية بالضفة
1,وزير الدفاع الامريكي الحلفاء تجنب الاسلحة الروسية
1,الدفاع الروسية موسكو سترد اذا نشرت اميركا صواريخ جديدة البلدان
1,انقلاب ميانمار مظاهرات حاشدة الشوارع رغم تهديد الجيش بوقوع مزيد القتلى
1,واشنطن تفرض عقوبات جنرالات المجلس العسكري ميانمار
1,بريطانيا تعلن تطعيم نصف البالغين بالجرعة الاولى لقاح كورونا
1,فيروس كورونا فرنسا وبولندا تشددان قيود الاغلاق ارتفاع الاصابات موجة ثالثة
1,مظاهرات حاشدة امام مقر اقامته نتنياهو يعتزم التشكيك نتائج انتخابات الثلاثاء
1,فرز الاصوات الانتخابات الاسرائيلية فرص نتنياهو لنيل الاغلبية البرلمانية تتراجع
1,عشرات القتلى والجرحى بتعز ومارب وهجمات للحوثيين ابها والتحالف يقصف صنعاء
1,هجمات الحوثيين ضد المدنيين تعزز تورطهم جرائم حرب
1,متحدث الرئاسة الافغانية امريكا تخطط لسحب قواتها افغانستان
1,الرئيس الافغاني يقترح اجراء انتخابات مبكرة بديلا لخطة سلام اميركية يرفضها
1,ايران تتحدى ضغوط واشنطن
1,ايران تعلن استعدادها لمبادلة السجناء واشنطن
1,واشنطن تدعو قادة لبنان للاسراع بتشكيل الحكومة وتنحية خلافاتهم جانبا
1,عون والحريري يتبادلان الاتهامات بتعطيل تشكيل الحكومة ودبلوماسي فرنسي يعد بزيادة الضغوط الساسة اللبنانيين
1,فتح باب الترشح للانتخابات الفلسطينية الضفة وغزة
1,لجنة الانتخابات الفلسطينية تعلن اغلاق باب الترشح للانتخابات التشريعية
1,الحوثي تعلن تنفيذ الهجوم الثاني مطار ابها السعودي
1,مقتل اطفال هجوم صاروخي للحوثيين مدرسة تعز اليمنية
1,اصابة رئيس باكستان بكورونا تلقيه اللقاح
1,رئيس الوزراء الباكستاني يعين وزيرا جديدا للمالية
1,وزير الدفاع الامريكي يبحث نظيره الهندي تعزيز العلاقات وتوسيع نطاق التعاون العسكري
1,اوستن يدخل التاريخ كاول وزير دفاع امريكي اصول افريقية
1,يمكن للديمقراطية الامريكية البقاء يتم تهميش اليمين المتطرف
1,ستراتفور ارهاب اليمين المتطرف مرشح للتمدد اوروبا خلال
1,العراق تنافس مراكز القوة الايرانية يفاقم الفوضى البلاد
1,المعارضة الايرانية العراق مخاوف القمع العابر للحدود
1,زلزال عنيف يضرب اليابان وتحذيرات تسونامي
1,زلازل تفصل بينها دقائق دول وتحذير تسونامي
1,واشنطن تتهم ايرانيين بالتخطيط للتهرب العقوبات الامريكية طهران
1,البرنامج النووي الايراني ايران تنتج اليورانيوم انتهاك جديد للاتفاق النووي
1,رئيس الوزراء الليبي يامر بفتح تحقيق واقعة جثث بنغازي
1,رئيس وزراء ليبيا المعين يرسل قائمة الحكومة للبرلمان
1,البيت الابيض يؤكد اقالة موظفين بسبب تعاطي الماريجوانا
1,نيويورك تجيز للبالغين تعاطي الماريجوانا وتمحو احكام الادانة
1,اقالة محافظ البنك المركزي اردوغان يقيل النائب
1,اردوغان حان الوقت لاطلاق صفة منظمة دولية المجلس التركي
1,قتيلان احتجاجات ميانمار
1,الامم المتحدة تدعو الى ضمان حماية الفارين العنف ميانمار
1,بايدن يندد بارتفاع نسبة العنف ضد الاسيويين الولايات المتحدة
1,مظاهرات شهدت اعمال عنف اتلانتا الامريكية مصرع شاب اصل افريقي بنيران الشرطة
1,تحقيق لـ الجزيرة يكشف حقيقة التعبئة الثانية لـ سد النهضة يحميه صواريخ
1,السودان يطلب رسميا وساطة رباعية مفاوضات سد النهضة
1,فرنسا تحظر الذبح الحلال اعتبارا مساجد كبرى ترفض تنفيذ الاجراءات
1,اغلاق المزيد المساجد فرنسا وتبرئة مسؤول جمعية خيرية اسلامية
1,واشنطن تحث القادة الصوماليين اجراء انتخابات فورا
1,الصومال تاجيل انتخابات الرئاسة ظل مشاحنات سياسية
1,واشنطن ترحب بمبادرة السعودية وتدعو للعودة للتفاوض باليمن
1,ولي العهد السعودي يبحث تطورات الاوضاع اليمن الرئيس هادي
1,فيروس كورونا عدة دول تستانف التطعيم بلقاح استرازينيكا وسط تسارع وتيرة تفشي الوباء
1,كوفيد منظمة الصحة العالمية تواصل مراقبة لقاح استرازينيكا وتجيز استخدام جونسون اند جونسون
1,مقتل محتجين ميانمار والاهالي يفرون البلاد
1,مظاهرة امام سفارة ميانمار جاكرتا لدعم مسلمي الروهنغيا
1,الاف الجزائريين يتظاهرون العاصمة للمطالبة بالتغيير وبرحيل عبد المجيد تبون واقالة رئيس مجلس الامة
1,تغيير وزراء ووزيرى دولة فى التعديل الحكومى بالجزائر
1,الخارجية الروسية العمل جار تنظيم لقاء دولي حول افغانستان موسكو
1,وزير الدفاع الاميركي يزور افغانستان نهاية جولته الاسيوية
1,التطبيع استياء اماراتي رئيس وزراء الاسرائيلي اعتاب الانتخابات الاسرائيلية
1,نتنياهو سازور الامارات الانتخابات
1,القاهرة ترحب بقرار تركيا بشان القنوات المعادية لمصر وتصفها بـ البادرة الطيبة لحل الخلافات
1,‪عالقون تركيا ومصر يطلبون رحلات استثنائية للعودة الى المغرب‬
1,سامية صلوحي اول رئيسة محجبة لتنزانيا تواجه تحدي القبول المجتمع
1,افريقيا تبدا التطعيم ومنظمة الصحة تدعو رئيس تنزانيا للوثوق العلم
1,وزير الخارجية الايراني يزور تركيا خضم توتر البلدين
1,بيان تركي ايراني مشترك يؤكد امكانية حل القضية السورية سياسيا
1,استراتيجية بريطانية نووية جديدة لمواجهة خطر الصين وروسيا
1,الحرب الالكترونيـة اخطـر الحرب النـووية
1,مجلس الامن يندد بتصعيد الحوثيين مارب
1,سقوط عشرات القتلى معارك متواصلة مارب اليمن
1,فضيحة الكمامات تهز حزب المستشارة الالمانية
1,ميركل تستبعد شراء المانيا للقاح سبوتنيك الروسي غياب الاتفاق الاوروبي بشانه
1,منع نائبة تونسية حضور اجتماع مكتب البرلمان ودعوة للتحقيق معها
1,تونس الغنوشي يطلب حضور عبير موسي للمكتب البرلمان
1,موريتانيا اتهام الرئيس السابق بـ الفساد وغسيل الاموال
1,نائب اردوغان يدعو الرئيس الموريتاني لزيارة تركيا
1,مجلس الشيوخ الامريكي يوافق اختيار وليام بيرنز مهندس الاتفاق النووي الايراني رئيسا للاستخبارات
1,مجلس الشيوخ الاميركي يقر خطة بايدن لتحفيز الاقتصاد
1,الحوثيون يتهمون التحالف بمنع دخول ناقلات نفط الى ميناء الحديدة
1,الحوثيون ينسحبون موانئ الحديدة والحكومة اليمنية تقول انها مسرحية
1,واشنطن وموسكو والاتحاد الاوروبي تدين استهداف منشات نفطية سعودية
1,لخارجية الاميركية الرد العسكري هجمات ارامكو مطروح
1,بوريل الاتحاد الاوروبي مضطر لمساعدة تركيا وتقاسم عبء المهاجرين معها
1,الاتحاد الاوروبي يدعو تركيا الى احترام الديمقراطية
1,كوريا الشمالية تقطع العلاقات ماليزيا بسبب جريمة تغتفر
1,بعثات دبلوماسية تغادر كوريا الشمالية ظل نقص حاد المواد الضرورية وقيود مسبوقة
1,العثور جثة تحمل اثار رصاص بنغازي شرق ليبيا
1,بنغازي تنتفض وحفتر يوجه شبابها ضد الثني وعقيلة
1,الذكرى العاشرة للثورة المظاهرات تعم شمالي سوريا
1,الحرب سوريا الثمن علينا دفعه مقابل الحرية
1,اجتماع الاسكا واشنطن تتهم بكين بـ تهديد الاستقرار العالمي الغوغائية
1,واشنطن تؤكد ان لديها مصالح مشتركة بكين الملف الايراني
1,وزارة الدفاع تعلن تاسيس شركة برزان القابضة المتخصصة تعزيز القدرات العسكرية
1,برزان القطرية انجازات واعدة يتقدمها تامين المونديال الطائرات المسيرة
1,بوتين يدعو بايدن لمحادثة تبث مباشرة والاخير يتمسك بوصف القاتل
1,بوتين يهزا بايدن ويتعهد بالدفاع مصالح روسيا
1,بينما يتصاعد القتال مارب الامم المتحدة تحذر اسوا مجاعة تهدد اليمن وتندد بتجنيد الاطفال
1,الارياني يهاجم الحوثيين ويتهمهم بـ تجنيد الاطفال قسريا للقتال مارب
1,غضب ومظاهرات بمدينة مصرية مقتل شاب يد الشرطة
1,غضب مصر بسبب شرط جديد مبادرة احلال السيارات القديمة
1,خطاب المحكمة الدولية لاسرائيل يوما مهلة للرد
1,واشنطن تلغي عقوبات فرضتها ادارة ترامب مسؤولين الجنائية الدولية
1,المباحثات الافغانية بموسكو اتفاق خفض العنف وخلاف حول شكل الدولة وانسحاب القوات الاجنبية
1,وفد افغاني يتوجه الى موسكو لحضور مؤتمر السلام
1,مصر تتهم اثيوبيا بالسعي لـ احتكار مياه النيل فرض الامر الواقع
1,الطائرات المقنبلة الكفيلة بتدمير سد النهضة ومصر تمتلك النوع الطائرات وفرة القنابل الذكية
1,السودان يضع شروطا للتفاوض اثيوبيا حول الحدود وسد النهضة
1,الفشقة ازمة متعددة الابعاد جيش السودان ومزارعوه بمواجهة مليشيات اثيوبيا
1,الانتخابات الاسرائيلية والفلسطينية تنتهك الاعراف الديمقراطية
1,الفلسطينيون يعلقون امالا الانتخابات الاسرائيلية
1,اسرائيل تؤيد اتفاقا نوويا ايران يمنعها امتلاك قنبلة ذرية
1,الملف النووي الايراني طهران ترفض رفعا تدريجيا للعقوبات الامريكية المفروضة عليها
1,قبيل لقاء الاسكا الصين تحذر الولايات المتحدة وتتعهد بعدم التنازل مصالحها
1,الصين تدعو الولايات المتحدة الى ازالة تاثيرات سياسات ترامب وتجنب خلق مشاكل جديدة
1,المنظمة الصهيونية عملت تشويه المسؤولين الثلاثة الاصول العربية والاسلامية
1,منظمة صهيونية تهدد بمقاضاة مسؤولي هيئة الاذاعة والتلفزيون الفلسطيني
1,انطلاق مفاوضات السلام الافغانية موسكو
1,موسكو عقب اجتماع اطراف الاتفاق النووي انطباع باننا المسار الصحيح
1,الحريري يرد دعوة عون ويطالبه بمصارحة اللبنانيين
1,التيار الوطني الحر يحذر الحريري تهميش عون تشكيل الحكومة اللبنانية
1,المحكمة العسكرية ميانمار تتهم سو تشي بتقاضي رشوة
1,انقلاب ميانمار الجيش يستعين بضابط سابق الموساد الاسرائيلي لتحسين صورة قادة الجيش دوليا
1,قتلى هجوم قوات مدعومة اماراتيا بابين جنوبي اليمن
1,اليمن قتيلان الحزام الامني بمواجهات قوات حكومية
1,التقرير الايراني بشان اسقاط الطائرة الاوكرانية يرفع المسؤولية القوات المسلحة
1,الجيش الايراني سنبيد ونمحو اسرائيل اذا ارتكبت اي حماقة ضد منشاتنا النووية
1,زلزال بقوة درجات مقياس ريختر يضرب الجزائر
1,زلزال بقوة درجات يضرب شرق اليابان ويسقط عشرات الجرحى وسط حالة الذعر السكان
1,تفجير حافلة واسقاط مروحية وسط البلاد دام بافغانستان
1,دام هرات والحكومة الافغانية تقرر حضور مؤتمري سلام ترعاهما واشنطن وموسكو
1,وفاة رئيس تنزانيا فترة غياب غامضة عمر ناهز عاما
1,قتيلا مراسم تشييع رئيس تنزانيا الراحل جون ماغوفولي
1,واشنطن القبض مسلح قرب مقر اقامة نائبة الرئيس الامريكي
1,كامالا هاريس نائبة الرئيس الاميركي لنتنياهو ملتزمون بامن اسرائيل ونرفض تحقيق الجنائية الدولية
1,غوتيريش يدعو للتصدي لـ الاسلاموفوبيا وكل اشكال التمييز والعنصرية
1,انقرة تؤكد اهمية اعلان يوما لمكافحة الاسلاموفوبيا
1,مخاوف موجة كورونا الثالثة مصر انحسار الثانية
1,النقد الدولي يمنح مصر قرضا بقيمة مليار لاحتواء وباء كورونا
1,بريطانيا تدافع لقاحها نصيحة المانية بعدم استخدامه لكبار السن
1,جونسون ينفي فرض بريطانيا حظرا تصدير اللقاحات
1,اتهامات متبادلة عون والحريري بتعطيل تشكيل الحكومة اللبنانية
1,فرنسا لبنان ينفذ اي اجراءات بموجب خارطة الطريق
1,نتنياهو يلغي زيارته الى الامارات للمرة الرابعة
1,ضجة اسرائيل الكشف ارسال الامارات طائرة لنتنياهو الى عمان
1,الاتحاد الاوروبي يمدد فترة صلاحية عملية ايريني المتوسط
1,الاتحاد الاوروبي يحاول طمانة روسيا بشان عملية ايريني قبالة سواحل ليبيا
1,بدعم التحالف الجيش اليمني يصد هجوما حوثيا بمارب
1,اليمن الحوثي يرد تقدم الجيش بقصف احياء سكنية بالحديدة
1,يائير لابيد مذيع سابق اصبح اكبر منافسي نتنياهو
1,غانتس يشكك سماح نتنياهو بالتناوب رئاسة الحكومة
1,مظاهرات بالذكرى العاشرة للثورة السورية بيان اوروبي اميركي الرئيس السوري وداعموه يتحملون مسؤولية الحرب
1,مظاهرات شمالي سوريا تدعو لاسقاط النظام واستكمال مطالب الثورة
1,هيومن رايتس ووتش توجه اتهامات للقوات المسلحة المصرية
1,الجنائية الدولية تفتح تحقيقا جرائم حرب بالاراضي الفلسطينية
1,طالبان تنتقد تصريحات بايدن وتطالبه بالالتزام باتفاق الدوحة
1,اتفاق الدوحة لانهاء الازمة اللبنانية
1,الاردن الحكم بالاعدام مرتكبي جريمة فتى الزرقاء
1,تنفيذ احكام اعدام تفجيري بغداد ومخاوف تصاعدها
1,ايران ترفض وقف تخصيب اليورانيوم ترفع الولايات المتحدة العقوبات
1,ايران قادرون تخصيب اليورانيوم بنسبة بالمئة
1,موسكو ترفض اتهامات التدخل بالشؤون الاميركية
1,تقرير للاستخبارات الامريكية يقول ان فلاديمير بوتين سمح بحملة تاثير مؤيدة لدونالد ترامب
1,الاردن الحكم باعدام متهمين قضية فتى الزرقاء وسجن
1,تنفيذ حكم الاعدام شنقا الموت بحق شقيقين ارتكبا جريمة القتل العمد
1,نيويورك تايمز الامريكية دوافع سياسية علمية وراء تعليق استخدام لقاح استرازينيكا اوروبا
1,بريطانيا تسجل حالات وفاة جديدة بسبب تجلط دموي نادر استخدام لقاح استرازينيكا
1,الرئيس التونسي حان الوقت لتجاوز الخلافات ليبيا
1,الرئيس التونسي يتحدث محاولات للتدخل الاجنبي ويجدد موقفه التعديل الوزاري
1,المسؤول الحوثي يطالب برفع الحصار فورا اليمن ووقف العدوان تشنه السعودية والامارات
1,الحوثيون يرفضون مقترح المبعوث الامريكي
1,لوموند الاطفال السوريون جيل سدى
1,رغم المعاناة اطفال سوريا يريدون العودة الى بلادهم
1,رهبان بوذيون ينضمون الى مسيرة مناهضة للانقلاب ميانمار
1,مسيرة لرهبان بوذيين اتباع ويراتو يتهجمون المسلمين الروهينغا
1,السودان مخاوف وخيارات الملء الثاني لسد النهضة
1,السودان ننوي دخول حرب بشان سد النهضة
1,مقتل شخصا هجمات بالنيجر قرب حدود مالي
1,جمهورية النيجر النازحون منطقة ديفا يعيشون حالة عوز تام
1,مقتل اشخاص باطلاق نار اندية صحية ولاية جورجيا الاميركية
1,مدعية ولاية جورجيا تفتح تحقيقا ضغوط ترامب المسؤولين لتغيير نتيجة الانتخابات
1,روسيا تعترض اصدار بيان لمجلس الامن بشان الهجوم الحوثي مارب
1,التحالف اليمن يعلن احباط هجوم للحوثيين مارب
1,بشهادات ناجين هيومن رايتس توثق واقعة مقتل عشرات الاثيوبيين حرقا صنعاء
1,واشنطن توجه رسالة قاسية الى بكين وتندد بـ عدوانيتها
1,هيئة البث الاسرائيلي نتنياهو يزور الامارات الخميس
1,تقارير اعلامية نتنياهو منع وزير خارجيته السفر الى الامارات قبله
1,الطاقة الذرية ايران تخصب اليورانيوم الارض باجهزة طرد متطورة
1,وكالة الطاقة الذرية سترسل فرقا اليها للتدقيق ايران مستعدة لخطوة للسلام وتهدد بتدمير اسرائيل
1,الدفاعات السورية تتصدى لهجوم صاروخي اسرائيلي اهداف محيط دمشق
1,الاسد يعاقب اردوغان والقرضاوي وجنبلاط بتهم تمويل الارهاب
1,حكومة اليمن اقتحام قصر معاشيق اعتداء الدولة والقانون
1,الحكومة اليمنية تستنكر تقريرا امميا يتهمها بانتهاك حقوق الاطفال
1,ميديا بارت النازيون الجدد ينشطون داخل الجيش الفرنسي
1,المحاربون الافارقة والعرب قتلهم النازيون فرنسا
1,السعودية تدعو لتمديد حظر السلاح ايران لتزويدها الحوثيين باسلحة متطورة
1,وزير خارجية السعودية جلوسنا حول طاولة واحدة ايران امر واقعي تماما
1,وزيرا داخلية قطر والسعودية يبحثان التعاون الامني
1,الازمة الخليجية اتفاق فتح الحدود قطر والشيخ تميم يتراس وفد بلاده قمة السعودية
1,مصر تبدا عامها الجديد بتحدي توفير لقاحات كورونا
1,مطالبات بالتخلي الكمامة لمتلقي تطعيم كورونا وفاوتشي يرد
1,قضايا الحصاد – الرئيس الافغاني يستبعد تسليم السلطة انتخابات
1,الرئيس الافغاني استمرار الحرب يصب مصلحة شعبنا
1,فرنسا وضع ايران الداخلي يعرقل احياء المحادثات النووية
1,فرنسا تعلق رفض ايران المشاركة اجتماع مجموعة لبحث الملف النووي
1,رقعة الاحتجاجات تتسع اليمن بلغت نقظة رجعه
1,الجميع مذنبون حرب اليمن الا المدنيين
1,الوكالة الاوروبية تتمسك بلقاح استرازينيكا وتوصي قيود
1,فيروس كورونا بريطانيا تعرض بدائل للقاح استرازينيكا لمن تقل اعمارهم عاما
1,نيويورك تايمز قوات امريكية تساعد موزمبيق لمواجهة تنظيم الدولة البلاد
1,بغداد وجود القوات الاميركية العراق اصبح يقتصر الاستشارة والتدريب
1,اليمن تصعيد الجبهات
1,الامم المتحدة ترحب بنية واشنطن الغاء ادراج الحوثيين قائمة الارهاب
1,الرئيس الاسرائيلي يحشد باوروبا ضد العودة للاتفاق النووي ايران
1,الاتفاق النووي الايراني حسابات تركيا المستقبلية الفرص والتحديات
1,اردوغان السعودية تطلب طائرات بدون طيار تركيا
1,اردوغان سنبحث السعودية مناوراتها المشتركة اليونان
1,محتجون يمنيون يقتحمون القصر الرئاسي عدن
1,الشرطة السودانية تفرق مئات المتظاهرين امام القصر الرئاسي
1,الفصائل الفلسطينية تصل القاهرة لاستكمال الحوار الوطني
1,حماس القاهرة للاعتذار تجاوزات هنية
1,روسيا مازق حقيقي يجب التخلي سياسة عزل النظام السوري
1,روسيا وكورونا العزل الصحي الى العزل السياسي
1,رغم دعوات الحوار دماء اليمنيين زالت تتناثر مارب وتعز
1,المبعوث الاممي الخاص الى اليمن يزور طهران للتشاور
1,تدريبات تركية امريكية البحر المتوسط
1,تركيا تعتقل قادة البحرية السابقين نشرهم رسالة تحذير مشروع قناة اسطنبول المائية
1,وزير الخارجية التركي عدم تكرار الاخطاء مهم لتقدم العلاقات اوروبا
1,الاتحاد الاوروبي وفرنسا يدرسان فرض عقوبات ساسة لبنانيين
1,مستجدات كورونا اكتشاف سلالة جديدة فرنسا والصين توافق لقاح جديد للطوارئ
1,كشف سر اتلاف مليون جرعة لقاح كورونا وضربة لاسترازينيكا
1,الحكومة الليبية الجديدة تتسلم السلطة عملية انتقال سلسة
1,رقابة الاعيان الاداء الحكومي ترسيخ لدور السلطة التشريعية
1,الرئيس الافغاني يريد تسليم السلطة الى خليفة منتخب
1,جو بايدن الرئيس الـ للولايات المتحدة واكبر الرؤساء سنا
1,مسلحون يهربون تاجر مخدرات امام محكمة عراقية
1,عصابة كولومبية تعرض مكافاة لقتل كلبة بوليسية
1,وكالة الطاقة الذرية ترسل فرقا فنية للتدقيق برنامج ايران النووي
1,وكالة الطاقة الذرية ايران تخصب اليورانيوم باجهزة متطورة
